Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Вівчаренко,Богуслава,Володимирівна,Жіноча,06.02.1978,Мистецтвознавець,місто Броди,"проспект Аеропортівський 2-й, буд. 6 кв. 788, Кремінна, 70859",+380 (76) 124-36-69,vadym96@example.net
Пилипенко,Василина,Андріївна,Жіноча,12.03.1992,Медик,хутір Радехів,"сквер Амурський 4-й, буд. 4, Харків, 04076",+380 32 063-82-57,irena34@example.com
Ґерус,Едита,Володимирівна,Жіноча,08.12.1974,Візажист,село Надвірна,"шосе Штабний, буд. 571, Токмак, 83566",+380 84 833-10-53,vasylenkoiosyp@example.net
Тесленко,Віра,Сергіївна,Жіноча,28.04.1945,Петрограф,місто Кременець,"парк 10-та Лінія Марії Демченко, буд. 3, Сніжне, 58945",+380 01 731-86-78,solomiia65@example.org
Деревʼянко,Богуслава,Петрівна,Жіноча,24.02.1952,Модель,місто Бердичів,"проспект Якірний, буд. 7, Бережани, 75142",+380 63 306-81-86,ielysavetakorsun@example.net
Забарний,Ганна,Петрівна,Жіноча,02.05.1944,Астрофізик,селище Перечин,"проспект Локомотивний 3-й, буд. 70, Жидачів, 62589",+380 16 182-32-71,xoliinyk@example.net
Свистун,Ірена,Вікторівна,Жіноча,23.01.1994,Ґрунтознавець,хутір Дніпрорудне,"шосе Мусіна, буд. 94, Щастя , 11918",028 876-77-67,varfolomii65@example.com
Вернигора,Вікторія,Володимирівна,Жіноча,02.01.1967,Ветеринар,село Брянка,"шосе Пересипська 4-та, буд. 6, Конотоп, 91592",+380 88 411-19-32,shvachkodmytro@example.org
Аверченко,Тетяна,Петрівна,Жіноча,11.01.1978,Ботанік,хутір Умань,"узвіз Бреуса, буд. 448 кв. 593, Вашківці, 70271",650 70 68,terezavoblyi@example.net
Примаченко,Ольга,Іванівна,Жіноча,03.01.1952,Фотограф,село Південне ,"парк Старопортофранківська, буд. 6 кв. 18, Березань , 02306",097 952-94-64,hannaievtushok@example.net
Матвієнко,Амалія,Андріївна,Жіноча,21.05.1976,Мовознавець,хутір Борзна,"набережна Шишкіна, буд. 3, Покров, 66988",013 854-44-28,radchenkovenedykt@example.org
Товстуха,Мілена,Михайлівна,Жіноча,08.03.2005,Композитор,місто Судова Вишня,"вулиця Банний, буд. 851 кв. 331, Сокаль, 30866",+380 41 875 19 14,adamchukemiliia@example.org
Щорс,Галина,Володимирівна,Жіноча,15.05.1950,Прокурор,селище Скадовськ,"шосе Перлинна, буд. 7 кв. 99, Алмазна, 68029",004-19-56,bmykytiuk@example.org
Штепа,Роксолана,Олександрівна,Жіноча,05.03.1949,Електротехнік,село Барвінкове,"провулок 1-ша Суворовська, буд. 621, Саки , 90317",003 701 64 83,artem60@example.net
Вівчаренко,Марта,Дмитрівна,Жіноча,07.12.1963,Гірничий інженер,село Харцизьк,"набережна Байдарочний, буд. 10, Голубівка, 61959",+380 76 385 89 57,liliia47@example.com
Баранник,Анастасія,Вікторівна,Жіноча,27.07.1975,Менеджер,село Тульчин,"площа Тупиковий, буд. 9 кв. 126, Алмазна, 97252",119 49 96,fiatsenko@example.org
Василечко,Богуслава,Іванівна,Жіноча,06.07.1940,Водій,село Часів Яр,"площа Шишкіна 2-й, буд. 07 кв. 59, Буськ, 39492",+380 71 206-31-48,nestorzhadan@example.net
Сагаль,Тереза,Олександрівна,Жіноча,16.10.1970,Мовознавець,місто Світловодськ,"вулиця Бориса Літвака, буд. 7, Хуст, 69035",620 70 52,halynazabila@example.com
Охримович,Одарка,Андріївна,Жіноча,28.05.1941,Сценарист,хутір Валки ,"шосе Маяковського, буд. 97 кв. 07, Бориспіль, 50027",015 738 63 00,akorbut@example.net
Романчук,Ада,Дмитрівна,Жіноча,15.08.1986,Намотувальник,місто Баранівка,"парк Елеваторна, буд. 17, Сміла, 22052",082 048-68-85,kdevdiuk@example.org
Гречко,Варвара,Федорівна,Жіноча,22.06.1994,Кушнір,село Чуднів,"проспект Усатівська, буд. 45, Арциз, 78257",+380 19 860-53-49,anton24@example.org
Якименко,Володимира,Вікторівна,Жіноча,21.01.1997,Кіноактор,місто Жданівка,"провулок Французький, буд. 202, Хмільник, 86564",864-07-48,feofan63@example.com
Дубенко,Марʼяна,Володимирівна,Жіноча,27.02.1941,Дизайнер,місто Гуляйполе,"набережна Кипарисний 3-й, буд. 858 кв. 4, Середина-Буда, 73826",+380 22 913 91 87,maksym54@example.com
Ященко,Наталія,Андріївна,Жіноча,06.08.1967,Патологоанатом,селище Олешки,"сквер Деволанівський узвіз, буд. 3 кв. 9, Обухів, 75955",075-26-18,nkashchenko@example.net
Вернидуб,Оксана,Федорівна,Жіноча,13.05.2001,Фрілансер,село Хмільник,"сквер Соляний 7-й, буд. 51, Луцьк, 56028",053 753 43 39,verkhovynetsvitalii@example.net
Сиротенко,Камілла,Федорівна,Жіноча,01.10.1984,Кіноактор,селище П'ятихатки,"проспект Архітекторська, буд. 5 кв. 76, Дубровиця, 16827",+380 85 245 96 59,pchervonenko@example.com
Абрамчук,Аліна,Андріївна,Жіноча,18.03.1955,Бібліограф,село Волноваха,"провулок Івана Франка, буд. 17, Карлівка, 79534",+380 (87) 124-49-38,petroovsiienko@example.net
Христенко,Олена,Андріївна,Жіноча,24.07.1978,Піаніст,хутір Моршин,"шосе Аеродромна, буд. 906 кв. 23, Добромиль, 01931",+380 (27) 775-26-10,oleksaishchak@example.org
Штокало,Анжела,Михайлівна,Жіноча,06.02.2002,Психолог,хутір Волноваха,"площа Заводська 3-тя, буд. 8 кв. 1, Прип'ять , 39496",+380 58 713-05-97,nataliiahuzenko@example.org
Фартушняк,Амалія,Михайлівна,Жіноча,12.06.1989,Бізнесмен,місто Синельникове,"площа Путьова, буд. 74 кв. 88, Мелітополь, 94443",+380 20 483-49-65,eduard50@example.org
Хорішко,Соломія,Михайлівна,Жіноча,14.10.1955,Електрослюсар,місто Сквира,"набережна Виставочна, буд. 734, Хорол , 14779",+380 97 715 60 11,pbabko@example.com
Сірко,Оксана,Вікторівна,Жіноча,04.01.1939,Палеонтолог,місто Білогірськ,"сквер Чорноморський 1-й, буд. 8, Івано-Франківськ, 33702",988 59 99,sofiiakorzh@example.org
Нестайко,Розалія,Андріївна,Жіноча,10.07.1979,Бібліограф,село Первомайський ,"набережна Листяний, буд. 578 кв. 30, Хуст, 63493",+380 (31) 822-83-33,panasbabii@example.net
Балабан,Оксенія,Іванівна,Жіноча,16.07.1953,Штукатур,місто Тернопіль,"сквер Тупиковий 1-й, буд. 702 кв. 401, Теплодар, 63448",+380 56 932-56-56,gdziuba@example.org
Ковалюк,Людмила,Петрівна,Жіноча,28.11.1982,Журналіст,селище Копичинці,"провулок 2-га Лінія 6-й ст. Люстдорфської дороги, буд. 70 кв. 3, Фастів, 80010",+380 83 559 08 49,demianchuksymon@example.com
Остапчук,Анжела,Олександрівна,Жіноча,25.07.1956,Антрополог,місто Новомосковськ,"проспект Куликовський 2-й, буд. 635 кв. 38, Корюківка, 24229",+380 (41) 213-91-00,shelestdemian@example.org
Стус,Марія,Андріївна,Жіноча,12.01.1941,Фізик,хутір Вознесенськ,"площа Суднобудівний, буд. 0, Кагарлик, 32181",+380 (29) 351-62-82,ivan25@example.org
Бандурка,Едита,Дмитрівна,Жіноча,24.02.1974,Сценарист,село Тячів,"узвіз Маршала Говорова, буд. 9 кв. 160, Жашків, 48194",094 021 44 50,xsomko@example.org
Атрощенко,Пріска,Сергіївна,Жіноча,23.03.2004,Льотчик,хутір Ковель,"вулиця Восьмого березня 7-й, буд. 4 кв. 66, Славута, 91910",+380 (43) 414-33-58,zakharhavryshkevych@example.net
Чумак,Галина,Сергіївна,Жіноча,08.08.1952,Менеджер,місто Київ,"парк Метрополітенівський, буд. 918 кв. 455, Тульчин, 56868",078 073-54-00,aleksandrenkokyrylo@example.com
Кальченко,Валентина,Вікторівна,Жіноча,22.12.2001,Астрофізик,село Коломия,"парк Моторна, буд. 86 кв. 8, Попасна, 83145",+380 65 075-83-51,pshtokalo@example.com
Козаченко,Вікторія,Олександрівна,Жіноча,22.03.1986,Громадський діяч,село Любомль,"сквер Соляний 5-й, буд. 3, Мар'їнка, 75336",385-32-49,oryna46@example.org
Вдовенко,Анастасія,Михайлівна,Жіноча,20.10.1956,Дизайнер,місто Чортків,"площа Західний 2-й, буд. 20 кв. 65, Вуглегірськ, 65225",+380 55 815-35-40,albinataran@example.org
Забарний,Ольга,Іванівна,Жіноча,05.10.1976,Реставратор,місто Лозова ,"парк Єфімова, буд. 6, Новомиргород, 81167",+380 (23) 603-13-59,zabaraielysei@example.net
Абрагамовський,Богданна,Дмитрівна,Жіноча,20.12.1977,Електрик,місто Привілля,"парк Скляна, буд. 364 кв. 8, Татарбунари, 67025",437-16-86,alla03@example.com
Баранник,Лілія,Михайлівна,Жіноча,03.08.1955,Швачка,місто Пустомити,"вулиця Пересипська 4-та, буд. 353, Шостка, 89260",+380 25 852-15-86,gfomenko@example.net
Гавриш,Данна,Олександрівна,Жіноча,16.08.2000,Випробувач,місто Липовець,"провулок Саксаганського, буд. 8, Андрушівка, 97514",028 671 02 59,makarderiazhnyi@example.net
Хорішко,Ганна,Олександрівна,Жіноча,25.06.1968,Кушнір,село Свалява,"шосе Прохоровський, буд. 843 кв. 1, Костопіль, 71376",556 71 40,liashkoliza@example.net
Ярош,Анастасія,Михайлівна,Жіноча,08.07.1979,Слідчий,селище Брянка,"шосе Миколи Вороного, буд. 28, Тернівка , 91025",+380 (09) 779-15-11,priska44@example.net
Бандера,Оксенія,Дмитрівна,Жіноча,27.12.1974,Флорист,селище Червоносів,"проспект Десятого квітня, буд. 269 кв. 896, Сторожинець, 61910",+380 (47) 516-01-12,frants57@example.com
Прокопович,Одарка,Вікторівна,Жіноча,16.01.1950,Стоматолог,місто Херсон,"сквер Олександра Тимошенка, буд. 40 кв. 4, Каховка, 72785",215 96 34,niatsenko@example.net
Засуха,Златослава,Вікторівна,Жіноча,28.05.1966,Водій,місто Мена ,"проспект Корнюшина, буд. 47, Костянтинівка, 30074",097 017 94 88,solomiiaruban@example.org
Закусило,Богуслава,Петрівна,Жіноча,16.02.1971,Провізор,село Семенівка,"площа Достоєвського, буд. 920, Червоносів, 01193",+380 84 457 71 66,oles84@example.com
Мазур,Варвара,Петрівна,Жіноча,27.04.1973,Фотограф,місто Харків,"сквер Деревообробний 5-й, буд. 809, Буськ, 64449",+380 80 265 09 54,markopelekh@example.com
Андрощук,Марʼяна,Олександрівна,Жіноча,11.03.1949,Літературознавець,селище Тисмениця,"шосе Дунаєва, буд. 9, Ржищів, 70424",+380 52 871 64 86,iereskoorkhyp@example.net
Хомик,Людмила,Вікторівна,Жіноча,15.02.1975,Ріелтор,селище Барвінкове,"узвіз Капітана Кузнецова, буд. 6 кв. 896, Переяслав, 05483",+380 28 187-19-40,illia18@example.org
Гузій,Тереза,Олександрівна,Жіноча,01.04.1975,Історик,місто Яворів,"узвіз Деревообробний 1-й, буд. 86 кв. 3, Хрустальний, 86857",005 733-90-42,varfolomiiartym@example.org
Стець,Данна,Дмитрівна,Жіноча,07.04.1961,Різноробочий,місто Білицьке,"площа Скляний 1-й, буд. 11, Вишневе , 19109",008 996-08-73,liubov19@example.com
Охріменко,Лариса,Дмитрівна,Жіноча,10.11.1978,Астронавт,хутір Хирів,"парк Юрія Яновського, буд. 44 кв. 732, Судак , 99161",+380 99 877-03-63,sofiiasahal@example.com
Опанасенко,Юстина,Федорівна,Жіноча,18.09.1952,М'ясник,хутір Куп'янськ,"площа Привокзальна, буд. 0 кв. 42, Мелітополь, 06941",853 71 65,mariiapiatachenko@example.net
Василашко,Соломія,Андріївна,Жіноча,30.01.1990,Парфюмер,селище Корець,"сквер Мостовий, буд. 6 кв. 603, Зеленодольськ, 09699",+380 (91) 115-18-88,petroderkach@example.com
Нестеренко,Тетяна,Дмитрівна,Жіноча,07.09.1953,Кіноактор,село Бурштин ,"проспект Лізи Чайкіної, буд. 79 кв. 00, Бібрка, 46952",943-23-12,kteslenko@example.com
Редько,Марта,Сергіївна,Жіноча,21.08.1976,Композитор,село Заліщики,"провулок Миколи Вороного, буд. 159, Жовті Води, 69099",161-93-35,tmalyk@example.com
Лисенко,Анжела,Михайлівна,Жіноча,13.06.1953,Мистецтвознавець,хутір Слов'янськ,"провулок Тюльпанний, буд. 658 кв. 803, Первомайськ, 20446",+380 70 922-57-38,vadym97@example.net
Байда,Олена,Михайлівна,Жіноча,22.11.2003,Інженер,село Турка,"шосе Угорська, буд. 60 кв. 284, Хмельницький, 72726",+380 42 426 56 82,haidamakazlatoslava@example.org
Девдюк,Олена,Олександрівна,Жіноча,29.08.1943,Етнограф,хутір Шахтарськ,"площа Шкодова гора, буд. 5, Бар, 77181",+380 75 633 14 56,babychaaron@example.net
Рубець,Михайлина,Михайлівна,Жіноча,06.12.2004,Інженер,село Глухів,"провулок Державіна, буд. 9, Новий Буг, 49281",689 50 46,roksolanavasylechko@example.com
Гузь,Варвара,Олександрівна,Жіноча,19.01.1973,Футболіст,місто Залізне,"площа Ярморочна площа, буд. 2, Стрий, 33580",004-22-65,shchyrytsiamykhailo@example.org
Шведченко,Тереза,Дмитрівна,Жіноча,21.06.1973,Програміст,хутір Яготин,"шосе Достоєвського, буд. 2, Новоград-Волинський, 22796",095 19 44,ihor75@example.com
Тесленко,Валентина,Сергіївна,Жіноча,31.12.1988,Біолог,селище Лебедин,"узвіз Зоринська, буд. 0, Василівка , 77519",011 701-79-60,ievadotsenko@example.org
Ґалаґан,Віра,Михайлівна,Жіноча,31.01.1996,Редактор,хутір Чернігів,"сквер Пестеля, буд. 776 кв. 40, Помічна, 36806",931 06 17,iakovenkookhrim@example.com
Гаврилюк,Ірина,Іванівна,Жіноча,12.05.1967,Електротехнік,село Авдіївка,"провулок Лінія 42-га, буд. 065 кв. 8, Охтирка, 05630",893-37-26,okseniia41@example.net
Удовенко,Тереза,Вікторівна,Жіноча,10.01.1992,Астрофізик,селище Українка ,"площа Армійська, буд. 69, Авдіївка, 64226",+380 42 235 98 17,klymentbatih@example.org
Фесенко,Оксенія,Андріївна,Жіноча,07.07.1945,Клавішник,селище Суми,"сквер Лінія 33-тя, буд. 241 кв. 952, Перещепине, 26570",+380 17 707 23 91,odarka35@example.net
Журавель,Любов,Олександрівна,Жіноча,03.06.1991,Фотограф,хутір П'ятихатки,"шосе 11-та ст. Великого Фонтану пляж, буд. 4, Тиврів, 63848",067 447 12 33,roman46@example.com
Бабариченко,Альбіна,Михайлівна,Жіноча,17.12.1979,Біолог,хутір Золотоноша,"парк Транспортна, буд. 7, Герца, 89133",088 668 20 48,haievskyialevtyn@example.com
Дейнеко,Маруся,Олександрівна,Жіноча,06.10.1954,Маркетолог,село Новий Калинів,"шосе Морська, буд. 8, Мукачево, 20377",+380 64 798 60 58,rstelmakh@example.net
Лагода,Одарка,Іванівна,Жіноча,30.05.2002,Водій,хутір Ромни,"провулок Костанді, буд. 5 кв. 25, Стебник, 15837",+380 (68) 299-95-58,iukhymenkovolodymyra@example.net
Гузь,Одарка,Андріївна,Жіноча,07.03.1986,Модельєр,хутір Городенка,"шосе Восьмого березня 5-й, буд. 52 кв. 1, Волноваха, 60358",+380 56 418-97-48,barabashihor@example.org
Ейбоженко,Сніжана,Олександрівна,Жіноча,21.09.1986,Сантехнік,село Ужгород,"шосе Олександра Блока, буд. 37 кв. 843, Любомль, 94194",425-31-87,frants09@example.org
Забашта,Ольга,Михайлівна,Жіноча,14.08.1964,Редактор,місто Кам'янське,"набережна Раїси Сергієнко, буд. 5, Новомиргород, 11138",+380 44 221-67-52,kokhrymovych@example.net
Симоненко,Оксана,Михайлівна,Жіноча,20.12.1998,Мовознавець,село Городок,"вулиця Стовпова, буд. 945, Сторожинець, 89007",+380 (07) 620-07-74,zarubaamaliia@example.org
Демʼянчук,Розалія,Олександрівна,Жіноча,20.02.1980,Перекладач,хутір Мелітополь,"набережна Восьмого Березня Лінія 4-та, буд. 4 кв. 76, Кременець, 88556",+380 (49) 117-20-95,hgalagan@example.org
Архипенко,Тереза,Іванівна,Жіноча,19.07.1965,Палеонтолог,село Вуглегірськ,"площа Обсерваторний, буд. 4 кв. 627, Скалат, 28858",006 260 74 88,kozachenkoroksolana@example.org
Сагаль,Любов,Михайлівна,Жіноча,14.01.1980,Гінеколог,село Алупка,"провулок Лобачевського, буд. 3 кв. 558, Сокиряни, 52346",+380 19 079 57 05,radchenkoivan@example.com
Баранець,Мілена,Вікторівна,Жіноча,13.11.1967,Мовознавець,місто Кам'янка-Бузька,"провулок Леваневського тупик, буд. 57, Турка, 39484",028 150 24 58,khomashcherban@example.org
Ірванець,Аніта,Андріївна,Жіноча,21.10.1938,Фольклорист,хутір Приморськ (Україна),"парк Юннатів 3-й, буд. 40 кв. 983, Малин, 90724",548-53-97,arkadiivernydub@example.net
Вернигора,Святослава,Федорівна,Жіноча,17.01.1968,Живописець,хутір Калинівка ,"парк Деревообробний 4-й, буд. 7, Хирів, 77957",+380 15 229-01-01,oles53@example.net
Шило,Орися,Андріївна,Жіноча,22.07.2004,Каскадер,село Заводське,"парк Молодогвардійська, буд. 4, Перечин, 58439",003 190 95 80,iosyppiatachenko@example.net
Штепа,Оксана,Олександрівна,Жіноча,06.12.1956,Астрофізик,місто Лубни,"площа Іподромний, буд. 5, Верхньодніпровськ, 38211",011 305-19-06,prytulahryhorii@example.com
Байда,Тетяна,Федорівна,Жіноча,17.11.1952,Єгер,село Рівне,"площа Лінія 50-та, буд. 929, Ворожба, 81429",096 742-39-30,wtryhub@example.net
Наливайко,Камілла,Сергіївна,Жіноча,16.04.1941,Слідчий,хутір Гуляйполе,"площа Квітнева, буд. 859 кв. 7, Тетіїв, 31703",026 876 65 54,valentyna21@example.net
Ващенко-Захарченко,Амалія,Олександрівна,Жіноча,16.04.1952,Науковець,село Первомайський ,"площа Селищна, буд. 600 кв. 2, Свалява, 97359",+380 37 253-36-22,wabramchuk@example.org
Воблий,Ганна,Сергіївна,Жіноча,12.06.1958,Гірник,селище Копичинці,"набережна Угорська, буд. 02, Боково-Хрустальне, 65592",822-15-51,bvashchuk@example.net
Швайка,Орина,Федорівна,Жіноча,14.05.1986,Провізор,хутір Дрогобич,"сквер Багрицького, буд. 8 кв. 893, Моспине, 40642",083-25-56,haivoronskyieduard@example.com
Заїка,Данна,Дмитрівна,Жіноча,09.02.1961,Шериф,село Саки ,"сквер Проїзний 2-й, буд. 07, Хмільник, 64577",+380 (22) 765-02-16,gmykhailiuk@example.org
Ґерус,Віолетта,Михайлівна,Жіноча,30.11.1970,Кушнір,місто Немирів,"площа Обільна, буд. 9 кв. 6, Острог, 61990",+380 (42) 115-56-73,hryhoriipylypenko@example.com
Авраменко,Тереза,Олександрівна,Жіноча,09.08.1945,Фармацевт,місто Мена ,"провулок Сонячна, буд. 7 кв. 1, Донецьк, 59872",+380 (56) 818-53-24,stepanduplii@example.org
Забара,Марія,Андріївна,Жіноча,29.06.2000,Паралегал,село Херсон,"площа Таїрова, буд. 864 кв. 10, Рівне, 83698",+380 (31) 479-33-02,hryhoriizakharchenko@example.net
Вишняк,Христина,Іванівна,Жіноча,06.09.1946,Візажист,село Львів,"шосе Новгородська, буд. 2, Южноукраїнськ, 96256",+380 (27) 303-38-37,utkachenko@example.org
Перебийніс,Марина,Сергіївна,Жіноча,18.06.1962,Клавішник,село Добропілля,"шосе Південно-Санаторний, буд. 1, Нетішин, 58188",088 191 31 54,boleslav91@example.net
Царенко,Володимира,Володимирівна,Жіноча,05.04.1983,Архітектор,місто Ірміно,"проспект Метрополітенівський, буд. 2, Гірське, 11051",019 042-21-71,bohdan77@example.org
Євтушок,Ліза,Олександрівна,Жіноча,25.11.1972,Фотограф,селище Таврійськ,"площа Волна тупик, буд. 64, Перевальськ, 11362",+380 14 389 77 57,iryna75@example.org
Рябошапка,Михайлина,Михайлівна,Жіноча,29.07.1978,Стоматолог,село Нікополь,"вулиця Висоцького, буд. 5, Бучач, 99434",+380 39 937 44 64,demianchukartem@example.org
Ільченко,Златослава,Петрівна,Жіноча,17.05.1979,Льотчик,хутір Ланівці,"узвіз Амбулаторний 1-й, буд. 6, Приморськ (Україна), 18597",+380 38 147-93-02,oishchak@example.com
Швачко,Лілія,Дмитрівна,Жіноча,04.12.1997,Стропальник,селище Саки ,"проспект Штильова, буд. 0 кв. 3, Хуст, 22777",417 27 54,zmykytiuk@example.net
Удовенко,Світлана,Федорівна,Жіноча,14.05.1947,Льотчик,селище Шостка,"парк Жаботинського, буд. 60 кв. 04, Кам'янка-Дніпровська, 45310",046 522-55-61,verhuniryna@example.org
Гаврилець,Ада,Володимирівна,Жіноча,06.06.1964,Психолог,село Гребінка,"площа Віцеадмірала Азарова, буд. 712 кв. 7, Бершадь, 80258",+380 (94) 513-29-82,anastasiia88@example.net
Жук,Оксенія,Петрівна,Жіноча,28.02.2007,Стропальник,селище Барвінкове,"сквер Пересипська 6-та, буд. 226 кв. 477, Севастополь, 88704",+380 (66) 709-21-58,uiukhymenko@example.com
Артюх,Софія,Петрівна,Жіноча,03.05.1961,Круп'є,село Вишгород,"набережна Данькевича, буд. 73 кв. 7, Довжанськ, 97320",+380 95 009-20-51,ostaptsymbal@example.com
Твердохліб,Алла,Михайлівна,Жіноча,26.06.1981,Антрополог,хутір Ходорів,"проспект Лобачевського, буд. 251, Вижниця, 87566",+380 53 182-79-86,klavdiiaalekseienko@example.org
Батюк,Анастасія,Андріївна,Жіноча,20.05.1978,Паблік рилейшнз,хутір Волноваха,"провулок Проектний 5-й, буд. 188 кв. 22, Бурштин , 35790",+380 28 281-92-80,favdieienko@example.com
Величко,Данна,Петрівна,Жіноча,12.03.1973,Музикант,місто Рогатин,"площа Історія Футболу, буд. 126, Кривий Ріг, 17561",378-19-00,xhaidenko@example.org
Ємельяненко,Єва,Іванівна,Жіноча,12.07.2005,Промисловець,хутір Вовчанськ,"площа Лінія 24-та, буд. 71, Рені, 37261",+380 52 937-93-19,iustymsamoilenko@example.org
Орлик,Марта,Федорівна,Жіноча,07.04.1966,Художник,хутір Мукачево,"шосе Проектна 1-ша, буд. 4, Іловайськ, 41037",422 98 64,darahanalina@example.org
Дзиндра,Мілена,Сергіївна,Жіноча,06.09.2004,Археолог,хутір Докучаєвськ,"шосе Достоєвського, буд. 381 кв. 246, Обухів, 94051",+380 94 044 01 65,vanchenkoparmen@example.org
Андрійчук,Златослава,Вікторівна,Жіноча,21.06.1990,М'ясник,селище Стрий,"шосе Лавкова, буд. 8 кв. 202, Іловайськ, 84426",+380 23 357-73-46,avdieienkokhrystyna@example.org
Власенко,Ярина,Олександрівна,Жіноча,29.07.1941,Паралегал,село Миколаївка ,"сквер Чернишевського, буд. 2, Щолкіне, 51371",+380 42 358 16 10,zasiadkomartyn@example.org
Лисенко,Амалія,Іванівна,Жіноча,04.11.1951,Гінеколог,село Білозерське,"площа Магнітогорський 3-й, буд. 94 кв. 453, Ямпіль, 44290",+380 (43) 979-67-14,onysymzhuchenko@example.net
Олійник,Аліна,Федорівна,Жіноча,22.04.1958,Астрофізик,місто Житомир,"вулиця Кордонна, буд. 9 кв. 159, Мерефа, 08804",+380 30 547-31-43,vasylyna03@example.com
Василашко,Валентина,Іванівна,Жіноча,09.10.1996,Пекар,місто Трускавець,"шосе Полтавська, буд. 7, Переяслав, 25111",+380 (62) 264-99-36,bohdan29@example.com
Москаль,Анастасія,Михайлівна,Жіноча,19.12.2006,Музикознавець,місто Полтава,"провулок Штурвальна, буд. 275 кв. 738, Турка, 86078",096 950 63 35,irynaisaievych@example.com
Сірченко,Мілена,Сергіївна,Жіноча,11.06.1999,Шериф,хутір Новомиргород,"вулиця Сергія Ядова, буд. 601, Родинське, 88813",+380 (69) 655-03-41,varvara14@example.net
Юрченко,Тереза,Вікторівна,Жіноча,20.09.1971,Клавішник,місто Вознесенівка,"провулок Текстильників, буд. 774 кв. 489, Підгородне, 15183",+380 80 203 69 63,eieremenko@example.org
Ванченко,Мілена,Іванівна,Жіноча,07.09.1941,Вчитель,місто Бобринець,"площа Восьмого березня 9-й, буд. 19, Миронівка, 07055",+380 35 857 48 87,orkhyptsymbaliuk@example.com
Башполченко,Богуслава,Дмитрівна,Жіноча,18.01.1950,Палеонтолог,село Слов'янськ,"набережна 19-та Лінія, буд. 244 кв. 0, Інкерман, 83347",285 36 75,zhurbavarvara@example.net
Верхола,Світлана,Дмитрівна,Жіноча,04.03.1984,Парфюмер,місто Бершадь,"парк Басейний 4-й, буд. 93, Алупка, 48377",049 795-76-24,martatarasenko@example.com
Каденюк,Анжела,Володимирівна,Жіноча,08.08.1960,Різноробочий,місто Новий Калинів,"провулок 16-та Лінія 6-й ст. Люстдорфської дороги, буд. 71 кв. 2, Іловайськ, 84187",+380 60 516-74-05,okseniiaviter@example.com
Абрагамовський,Одарка,Сергіївна,Жіноча,14.08.1944,Візажист,село Євпаторія,"набережна Костанді 2-й, буд. 50, Сквира, 89879",+380 52 901 42 91,valentyn25@example.net
Гупало,Богуслава,Володимирівна,Жіноча,23.06.1948,Астроном,місто Добромиль,"парк Ванцетті, буд. 560, Помічна, 47694",+380 07 435-01-88,goliashnataliia@example.net
Чуйко,Валентина,Олександрівна,Жіноча,19.09.1999,Музичний редактор,селище Полтава,"узвіз Вапняний 1-й, буд. 97 кв. 56, Глобине, 16427",046 753-04-59,qkhomenko@example.org
Аронець,Єва,Дмитрівна,Жіноча,16.01.1949,Адвокат,селище Верхівцеве,"площа Конструкторський, буд. 322 кв. 989, Бахчисарай, 62740",610-40-34,veniiamynbebeshko@example.net
Безбородько,Ада,Володимирівна,Жіноча,08.05.1958,Бухгалтер,село Узин,"проспект Шкіперська, буд. 8 кв. 7, Івано-Франківськ, 79485",+380 86 367-54-44,tiahnybokiaroslava@example.net
Яценюк,Орися,Андріївна,Жіноча,12.12.1972,Співак,хутір Гнівань,"провулок Лінія 33-тя, буд. 40, Торецьк, 17666",579 65 00,maksym54@example.com
Годунок,Богданна,Федорівна,Жіноча,11.03.1975,Композитор,селище Первомайський ,"набережна Десята, буд. 4, Тетіїв, 79985",889-85-71,frants96@example.com
Єрошенко,Роксолана,Федорівна,Жіноча,16.05.1984,Кінорежисер,село Дубровиця,"проспект Гілельса, буд. 67, Ізяслав, 53027",092 820-87-87,dmytro26@example.net
Шило,Орина,Сергіївна,Жіноча,02.01.1961,Підприємець,хутір Українка ,"вулиця Молодіжна, буд. 1 кв. 7, Сорокине, 10998",013 307-40-68,vakulenkostanislav@example.org
Піддубний,Тереза,Федорівна,Жіноча,27.05.1959,Мистецтвознавець,селище Гребінка,"узвіз Чернігівський, буд. 5, Суми, 89787",+380 20 520-05-23,bprytula@example.net
Барабаш,Ірена,Петрівна,Жіноча,15.11.1942,Геофізик,місто Соснівка ,"вулиця Проїзний 1-й, буд. 38 кв. 242, Мостиська, 58442",011 645 68 85,romanhrechanyk@example.org
Карась,Аліна,Сергіївна,Жіноча,27.04.1948,Правник,селище Соледар,"проспект Лазурний 1-й, буд. 22, Суходільськ, 98213",680 30 76,orlyksemen@example.org
Михайличенко,Сніжана,Петрівна,Жіноча,28.06.1998,Продюсер,селище Географія Вільнянська,"парк Бібліотечна, буд. 74, Новгород-Сіверський, 09585",+380 (48) 710-54-99,haidamakales@example.net
Павленко,Тетяна,Олександрівна,Жіноча,16.09.1955,Громадський діяч,село Рожище,"парк Докова, буд. 165, Калинівка , 81345",560-99-17,qbabych@example.org
Фартушняк,Амалія,Володимирівна,Жіноча,24.10.1972,Гірник,село Виноградів,"площа 13-та Лінія 6-й ст. Люстдорфської дороги, буд. 6 кв. 34, Новоград-Волинський, 90454",069 974 34 29,mykolai86@example.org
